index,sample_index,filename,source_text,target_text,input_noise_standard_deviation,input_noise_seed,gaussian_noise_scale,masking_proportion,guidance_scale,glyph_noise_seed,glyph_mask_seed,generation_seed,ocr_predicted_text,ACC,NED,CER,input_path,output_path
0,0,47442.png,nigre,a6uhq,7.558796336230698,3003,0.0,0.0,1.0,100042,200042,300042,aauhq,0.0,0.8,0.2,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0000_47442.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0000.png
1,1,09864.png,manit,sahr6,9.288307491545766,3004,0.0,0.0,1.0,100043,200043,300043,sahro,0.0,0.8,0.2,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0001_09864.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0001.png
2,2,05542.png,ruine,tedvx,8.707976256871737,3005,0.0,0.0,1.0,100044,200044,300044,tedno,0.0,0.6,0.4,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0002_05542.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0002.png
3,3,30959.png,diddy,wb4al,7.694703836711488,3006,0.0,0.0,1.0,100045,200045,300045,woral,0.0,0.6,0.4,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0003_30959.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0003.png
4,4,37280.png,bagon,zx67z,10.905270975252217,3007,0.0,0.0,1.0,100046,200046,300046,zxozz,0.0,0.6,0.4,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0004_37280.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0004.png
5,5,04843.png,Gumme,c28aq,11.068709741097946,3008,0.0,0.0,1.0,100047,200047,300047,equal,0.0,0.19999999999999996,0.8,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0005_04843.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0005.png
6,6,06577.png,crawl,w93bu,2.5440715215792324,3009,0.0,0.0,1.0,100048,200048,300048,wiesbu,0.0,0.5,0.6,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0006_06577.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0006.png
7,7,25609.png,tared,qyw2c,11.32649138237307,3010,0.0,0.0,1.0,100049,200049,300049,tywo,0.0,0.4,0.6,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0007_25609.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0007.png
8,8,25813.png,scarp,hsy04,2.55652060007871,3011,0.0,0.0,1.0,100050,200050,300050,hsyon,0.0,0.6,0.4,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0008_25813.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0008.png
9,9,44196.png,LINUX,1f6im,4.473118207168584,3012,0.0,0.0,1.0,100051,200051,300051,1fom,0.0,0.6,0.4,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0009_44196.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0009.png
10,10,23074.png,fears,l8d7s,7.323542951159396,3013,0.0,0.0,1.0,100052,200052,300052,tedrs,0.0,0.4,0.6,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0010_23074.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0010.png
11,11,16799.png,tudor,jlo9v,11.087793837904204,3014,0.0,0.0,1.0,100053,200053,300053,fhwo,0.0,0.0,1.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0011_16799.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0011.png
12,12,36368.png,rindy,rboce,2.096288107318485,3015,0.0,0.0,1.0,100054,200054,300054,rboce,1.0,1.0,0.0,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/inputs/0012_36368.png,/home/ekim339/projects/SD3.5/experiments/glyph_encoder/results/generated/noise-0p0_mask-0p0_cfg-1p0/0012.png
