parameter_and_value,ACC_mean/std,NED_mean/std,CER_mean/std
gaussian_noise_scale=0,0.084800/0.090028,0.391275/0.225715,0.881120/0.432757
gaussian_noise_scale=0.1,0.083200/0.089564,0.390212/0.226918,0.884160/0.431464
gaussian_noise_scale=0.3,0.083200/0.090276,0.387543/0.222988,0.892640/0.432641
gaussian_noise_scale=0.5,0.070400/0.083737,0.371834/0.219700,0.918720/0.423349
gaussian_noise_scale=1,0.041600/0.054822,0.330529/0.191834,0.979200/0.393345
masking_proportion=0,0.178400/0.052435,0.628607/0.058830,0.434720/0.070060
masking_proportion=0.1,0.148000/0.057689,0.575342/0.070249,0.530880/0.081878
masking_proportion=0.3,0.036800/0.029219,0.401675/0.069399,0.808320/0.090989
masking_proportion=0.5,0.000000/0.000000,0.171781/0.033234,1.256800/0.040871
masking_proportion=0.7,0.000000/0.000000,0.093988/0.011205,1.525120/0.032605
guidance_scale=1,0.051200/0.055449,0.305049/0.184929,0.929920/0.395704
guidance_scale=2,0.089600/0.091585,0.400578/0.228257,0.863520/0.431731
guidance_scale=3,0.095200/0.105721,0.414672/0.225962,0.869120/0.445947
guidance_scale=5,0.076800/0.083461,0.393659/0.231675,0.920800/0.448386
guidance_scale=10,0.050400/0.065267,0.357435/0.202638,0.972480/0.387414
