gaussian_noise_scale,masking_proportion,guidance_scale,ACC_mean/std,NED_mean/std,CER_mean/std
0.0,0.0,1.0,0.120000/0.324962,0.570190/0.266546,0.448000/0.289993
0.0,0.0,2.0,0.220000/0.414246,0.668984/0.239649,0.360000/0.280000
0.0,0.0,3.0,0.260000/0.438634,0.686635/0.236107,0.368000/0.318396
0.0,0.0,5.0,0.200000/0.400000,0.681264/0.217163,0.388000/0.335643
0.0,0.0,10.0,0.160000/0.366606,0.624460/0.252258,0.456000/0.348804
0.0,0.1,1.0,0.100000/0.300000,0.497905/0.293785,0.544000/0.337141
0.0,0.1,2.0,0.220000/0.414246,0.643762/0.258440,0.440000/0.383667
0.0,0.1,3.0,0.240000/0.427083,0.654381/0.247333,0.428000/0.370966
0.0,0.1,5.0,0.180000/0.384187,0.642351/0.224761,0.468000/0.376532
0.0,0.1,10.0,0.120000/0.324962,0.568595/0.238352,0.576000/0.413067
0.0,0.3,1.0,0.060000/0.237487,0.311984/0.251575,0.804000/0.369843
0.0,0.3,2.0,0.100000/0.300000,0.474374/0.259406,0.708000/0.454682
0.0,0.3,3.0,0.060000/0.237487,0.483478/0.223337,0.696000/0.404455
0.0,0.3,5.0,0.080000/0.271293,0.491247/0.222112,0.712000/0.434806
0.0,0.3,10.0,0.000000/0.000000,0.402334/0.193477,0.864000/0.460330
0.0,0.5,1.0,0.000000/0.000000,0.118537/0.120626,1.228000/0.381597
0.0,0.5,2.0,0.000000/0.000000,0.181953/0.154503,1.208000/0.438105
0.0,0.5,3.0,0.000000/0.000000,0.236774/0.170625,1.200000/0.510686
0.0,0.5,5.0,0.000000/0.000000,0.187387/0.156202,1.288000/0.490159
0.0,0.5,10.0,0.000000/0.000000,0.183057/0.116993,1.272000/0.460886
0.0,0.7,1.0,0.000000/0.000000,0.083191/0.090479,1.520000/0.409878
0.0,0.7,2.0,0.000000/0.000000,0.103230/0.093474,1.468000/0.378650
0.0,0.7,3.0,0.000000/0.000000,0.112700/0.104600,1.500000/0.406448
0.0,0.7,5.0,0.000000/0.000000,0.084680/0.084401,1.580000/0.425676
0.0,0.7,10.0,0.000000/0.000000,0.088424/0.075614,1.504000/0.410346
0.1,0.0,1.0,0.120000/0.324962,0.561333/0.284360,0.456000/0.302099
0.1,0.0,2.0,0.220000/0.414246,0.678984/0.225922,0.352000/0.269993
0.1,0.0,3.0,0.260000/0.438634,0.697754/0.224747,0.348000/0.293421
0.1,0.0,5.0,0.220000/0.414246,0.683264/0.223228,0.392000/0.353180
0.1,0.0,10.0,0.160000/0.366606,0.635849/0.234360,0.448000/0.338373
0.1,0.1,1.0,0.100000/0.300000,0.499270/0.286398,0.540000/0.318119
0.1,0.1,2.0,0.220000/0.414246,0.637548/0.262793,0.444000/0.382183
0.1,0.1,3.0,0.220000/0.414246,0.652444/0.256761,0.440000/0.389872
0.1,0.1,5.0,0.180000/0.384187,0.640256/0.218090,0.472000/0.366082
0.1,0.1,10.0,0.120000/0.324962,0.553095/0.257247,0.608000/0.447142
0.1,0.3,1.0,0.040000/0.195959,0.316460/0.235672,0.800000/0.357771
0.1,0.3,2.0,0.080000/0.271293,0.474264/0.243817,0.708000/0.425601
0.1,0.3,3.0,0.060000/0.237487,0.486185/0.234111,0.704000/0.416154
0.1,0.3,5.0,0.060000/0.237487,0.461947/0.215617,0.760000/0.443621
0.1,0.3,10.0,0.020000/0.140000,0.428282/0.222812,0.860000/0.534041
0.1,0.5,1.0,0.000000/0.000000,0.106071/0.121580,1.240000/0.360000
0.1,0.5,2.0,0.000000/0.000000,0.180707/0.169249,1.200000/0.430813
0.1,0.5,3.0,0.000000/0.000000,0.223744/0.180038,1.216000/0.497739
0.1,0.5,5.0,0.000000/0.000000,0.185624/0.147598,1.272000/0.453890
0.1,0.5,10.0,0.000000/0.000000,0.169231/0.114535,1.276000/0.443423
0.1,0.7,1.0,0.000000/0.000000,0.095755/0.095444,1.496000/0.406428
0.1,0.7,2.0,0.000000/0.000000,0.101937/0.089500,1.476000/0.385518
0.1,0.7,3.0,0.000000/0.000000,0.113509/0.102117,1.524000/0.395758
0.1,0.7,5.0,0.000000/0.000000,0.084005/0.081996,1.560000/0.393954
0.1,0.7,10.0,0.000000/0.000000,0.087789/0.078498,1.512000/0.417919
0.3,0.0,1.0,0.160000/0.366606,0.561238/0.294104,0.460000/0.320624
0.3,0.0,2.0,0.220000/0.414246,0.675111/0.224990,0.364000/0.284788
0.3,0.0,3.0,0.260000/0.438634,0.696540/0.218576,0.344000/0.285769
0.3,0.0,5.0,0.200000/0.400000,0.658886/0.228769,0.420000/0.360555
0.3,0.0,10.0,0.160000/0.366606,0.632429/0.235089,0.452000/0.334210
0.3,0.1,1.0,0.160000/0.366606,0.502071/0.303754,0.552000/0.354536
0.3,0.1,2.0,0.200000/0.400000,0.630979/0.261066,0.464000/0.400879
0.3,0.1,3.0,0.220000/0.414246,0.642127/0.257002,0.460000/0.400500
0.3,0.1,5.0,0.180000/0.384187,0.631311/0.235924,0.492000/0.408333
0.3,0.1,10.0,0.100000/0.300000,0.565344/0.242133,0.592000/0.445349
0.3,0.3,1.0,0.040000/0.195959,0.338931/0.235608,0.776000/0.395252
0.3,0.3,2.0,0.080000/0.271293,0.466910/0.249547,0.724000/0.457629
0.3,0.3,3.0,0.060000/0.237487,0.475534/0.215193,0.700000/0.367151
0.3,0.3,5.0,0.040000/0.195959,0.465738/0.223720,0.764000/0.469366
0.3,0.3,10.0,0.000000/0.000000,0.374973/0.178830,0.892000/0.434898
0.3,0.5,1.0,0.000000/0.000000,0.130962/0.127132,1.212000/0.356449
0.3,0.5,2.0,0.000000/0.000000,0.170327/0.173694,1.232000/0.454946
0.3,0.5,3.0,0.000000/0.000000,0.228499/0.158285,1.208000/0.476588
0.3,0.5,5.0,0.000000/0.000000,0.189723/0.156645,1.268000/0.457139
0.3,0.5,10.0,0.000000/0.000000,0.172868/0.115123,1.272000/0.452124
0.3,0.7,1.0,0.000000/0.000000,0.089268/0.107797,1.544000/0.463103
0.3,0.7,2.0,0.000000/0.000000,0.098626/0.090390,1.496000/0.429400
0.3,0.7,3.0,0.000000/0.000000,0.108281/0.106869,1.532000/0.405186
0.3,0.7,5.0,0.000000/0.000000,0.077672/0.075554,1.588000/0.402810
0.3,0.7,10.0,0.000000/0.000000,0.104232/0.080763,1.508000/0.461667
0.5,0.0,1.0,0.140000/0.346987,0.553048/0.292573,0.476000/0.332000
0.5,0.0,2.0,0.200000/0.400000,0.663722/0.235023,0.376000/0.292957
0.5,0.0,3.0,0.240000/0.427083,0.678222/0.225224,0.376000/0.321596
0.5,0.0,5.0,0.180000/0.384187,0.650678/0.232063,0.444000/0.396565
0.5,0.0,10.0,0.180000/0.384187,0.618570/0.256083,0.544000/0.683567
0.5,0.1,1.0,0.100000/0.300000,0.464032/0.275853,0.588000/0.318522
0.5,0.1,2.0,0.160000/0.366606,0.630138/0.241648,0.476000/0.393731
0.5,0.1,3.0,0.200000/0.400000,0.630571/0.241366,0.464000/0.380400
0.5,0.1,5.0,0.160000/0.366606,0.608821/0.239907,0.512000/0.404297
0.5,0.1,10.0,0.120000/0.324962,0.557237/0.244758,0.620000/0.483735
0.5,0.3,1.0,0.020000/0.140000,0.295746/0.218200,0.836000/0.341034
0.5,0.3,2.0,0.020000/0.140000,0.432939/0.227380,0.752000/0.422488
0.5,0.3,3.0,0.020000/0.140000,0.447701/0.186406,0.740000/0.342345
0.5,0.3,5.0,0.020000/0.140000,0.425700/0.211888,0.828000/0.463051
0.5,0.3,10.0,0.000000/0.000000,0.336251/0.160994,0.968000/0.402711
0.5,0.5,1.0,0.000000/0.000000,0.120090/0.106579,1.236000/0.311615
0.5,0.5,2.0,0.000000/0.000000,0.183040/0.169564,1.212000/0.433424
0.5,0.5,3.0,0.000000/0.000000,0.201606/0.145559,1.236000/0.462498
0.5,0.5,5.0,0.000000/0.000000,0.166080/0.159051,1.316000/0.488410
0.5,0.5,10.0,0.000000/0.000000,0.180066/0.130505,1.300000/0.514198
0.5,0.7,1.0,0.000000/0.000000,0.074612/0.093211,1.528000/0.417152
0.5,0.7,2.0,0.000000/0.000000,0.100277/0.098239,1.500000/0.416173
0.5,0.7,3.0,0.000000/0.000000,0.104670/0.099796,1.524000/0.403762
0.5,0.7,5.0,0.000000/0.000000,0.080195/0.084906,1.592000/0.413686
0.5,0.7,10.0,0.000000/0.000000,0.091844/0.071034,1.524000/0.448803
1.0,0.0,1.0,0.060000/0.237487,0.459238/0.287324,0.596000/0.352114
1.0,0.0,2.0,0.140000/0.346987,0.612048/0.241883,0.452000/0.334210
1.0,0.0,3.0,0.160000/0.366606,0.615111/0.241822,0.460000/0.342345
1.0,0.0,5.0,0.140000/0.346987,0.617526/0.236671,0.484000/0.383854
1.0,0.0,10.0,0.080000/0.271293,0.534087/0.254119,0.604000/0.396969
1.0,0.1,1.0,0.040000/0.195959,0.402690/0.261926,0.668000/0.340846
1.0,0.1,2.0,0.140000/0.346987,0.565589/0.263592,0.524000/0.391694
1.0,0.1,3.0,0.120000/0.324962,0.566034/0.251077,0.520000/0.368782
1.0,0.1,5.0,0.080000/0.271293,0.541825/0.225566,0.608000/0.415615
1.0,0.1,10.0,0.020000/0.140000,0.455170/0.211487,0.772000/0.473303
1.0,0.3,1.0,0.020000/0.140000,0.276486/0.202921,0.896000/0.351545
1.0,0.3,2.0,0.020000/0.140000,0.366175/0.205755,0.864000/0.398878
1.0,0.3,3.0,0.000000/0.000000,0.357294/0.168904,0.876000/0.348459
1.0,0.3,5.0,0.000000/0.000000,0.335335/0.170682,0.952000/0.416769
1.0,0.3,10.0,0.020000/0.140000,0.315619/0.173376,1.024000/0.446569
1.0,0.5,1.0,0.000000/0.000000,0.113513/0.110589,1.312000/0.335046
1.0,0.5,2.0,0.000000/0.000000,0.174066/0.136999,1.272000/0.407451
1.0,0.5,3.0,0.000000/0.000000,0.164868/0.142982,1.332000/0.462359
1.0,0.5,5.0,0.000000/0.000000,0.172340/0.147351,1.284000/0.421597
1.0,0.5,10.0,0.000000/0.000000,0.153400/0.104611,1.328000/0.469485
1.0,0.7,1.0,0.000000/0.000000,0.083610/0.083941,1.492000/0.362679
1.0,0.7,2.0,0.000000/0.000000,0.098756/0.110538,1.516000/0.396162
1.0,0.7,3.0,0.000000/0.000000,0.102147/0.097005,1.532000/0.397210
1.0,0.7,5.0,0.000000/0.000000,0.077625/0.073532,1.576000/0.397271
1.0,0.7,10.0,0.000000/0.000000,0.102676/0.077439,1.536000/0.390774
0.0,1.0,2.0,0.000000/0.000000,0.063829/0.065132,1.724000/0.391694
