masking_proportion,ACC_mean/std,NED_mean/std,CER_mean/std,masked_character_accuracy_mean/std,other_character_1_accuracy_mean/std,other_character_2_accuracy_mean/std,other_character_3_accuracy_mean/std,other_character_4_accuracy_mean/std,masked_character_index
0.0,0.220000/0.414246,0.666698/0.242729,0.368000/0.292192,0.780000/0.414246,0.680000/0.466476,0.660000/0.473709,0.480000/0.499600,0.580000/0.493559,0
0.0,0.220000/0.414246,0.666698/0.242729,0.368000/0.292192,0.680000/0.466476,0.780000/0.414246,0.660000/0.473709,0.480000/0.499600,0.580000/0.493559,1
0.0,0.220000/0.414246,0.666698/0.242729,0.368000/0.292192,0.660000/0.473709,0.780000/0.414246,0.680000/0.466476,0.480000/0.499600,0.580000/0.493559,2
0.0,0.220000/0.414246,0.666698/0.242729,0.368000/0.292192,0.480000/0.499600,0.780000/0.414246,0.680000/0.466476,0.660000/0.473709,0.580000/0.493559,3
0.0,0.220000/0.414246,0.666698/0.242729,0.368000/0.292192,0.580000/0.493559,0.780000/0.414246,0.680000/0.466476,0.660000/0.473709,0.480000/0.499600,4
0.1,0.220000/0.414246,0.672889/0.232806,0.368000/0.289441,0.740000/0.438634,0.700000/0.458258,0.640000/0.480000,0.460000/0.498397,0.620000/0.485386,0
0.1,0.220000/0.414246,0.675460/0.239501,0.360000/0.288444,0.700000/0.458258,0.780000/0.414246,0.680000/0.466476,0.460000/0.498397,0.580000/0.493559,1
0.1,0.220000/0.414246,0.689294/0.216448,0.352000/0.287221,0.640000/0.480000,0.780000/0.414246,0.720000/0.448999,0.540000/0.498397,0.640000/0.480000,2
0.1,0.220000/0.414246,0.666825/0.237323,0.376000/0.306307,0.500000/0.500000,0.740000/0.438634,0.660000/0.473709,0.620000/0.485386,0.620000/0.485386,3
0.1,0.240000/0.427083,0.663341/0.254259,0.372000/0.302020,0.580000/0.493559,0.720000/0.448999,0.700000/0.458258,0.640000/0.480000,0.500000/0.500000,4
0.3,0.200000/0.400000,0.667714/0.242935,0.376000/0.324074,0.680000/0.466476,0.660000/0.473709,0.660000/0.473709,0.480000/0.499600,0.660000/0.473709,0
0.3,0.140000/0.346987,0.632825/0.255080,0.412000/0.316000,0.580000/0.493559,0.740000/0.438634,0.640000/0.480000,0.480000/0.499600,0.540000/0.498397,1
0.3,0.160000/0.366606,0.632548/0.239321,0.436000/0.354830,0.500000/0.500000,0.720000/0.448999,0.700000/0.458258,0.480000/0.499600,0.520000/0.499600,2
0.3,0.120000/0.324962,0.598024/0.264371,0.460000/0.356090,0.280000/0.448999,0.720000/0.448999,0.660000/0.473709,0.620000/0.485386,0.600000/0.489898,3
0.3,0.180000/0.384187,0.617103/0.259244,0.420000/0.310483,0.460000/0.498397,0.700000/0.458258,0.660000/0.473709,0.640000/0.480000,0.520000/0.499600,4
0.5,0.120000/0.324962,0.588349/0.230281,0.472000/0.336476,0.400000/0.489898,0.620000/0.485386,0.620000/0.485386,0.460000/0.498397,0.640000/0.480000,0
0.5,0.040000/0.195959,0.570770/0.202253,0.476000/0.255781,0.260000/0.438634,0.780000/0.414246,0.580000/0.493559,0.380000/0.485386,0.440000/0.496387,1
0.5,0.080000/0.271293,0.548048/0.227803,0.520000/0.337046,0.100000/0.300000,0.720000/0.448999,0.700000/0.458258,0.460000/0.498397,0.500000/0.500000,2
0.5,0.060000/0.237487,0.543952/0.240588,0.508000/0.318019,0.100000/0.300000,0.660000/0.473709,0.660000/0.473709,0.560000/0.496387,0.620000/0.485386,3
0.5,0.000000/0.000000,0.554071/0.218522,0.504000/0.302628,0.180000/0.384187,0.700000/0.458258,0.640000/0.480000,0.620000/0.485386,0.520000/0.499600,4
0.7,0.080000/0.271293,0.562992/0.219356,0.488000/0.302417,0.280000/0.448999,0.600000/0.489898,0.640000/0.480000,0.480000/0.499600,0.680000/0.466476,0
0.7,0.040000/0.195959,0.525238/0.212297,0.528000/0.273525,0.140000/0.346987,0.760000/0.427083,0.540000/0.498397,0.360000/0.480000,0.440000/0.496387,1
0.7,0.040000/0.195959,0.524056/0.212585,0.552000/0.331204,0.040000/0.195959,0.740000/0.438634,0.640000/0.480000,0.480000/0.499600,0.480000/0.499600,2
0.7,0.060000/0.237487,0.549286/0.240293,0.504000/0.318094,0.100000/0.300000,0.680000/0.466476,0.680000/0.466476,0.540000/0.498397,0.620000/0.485386,3
0.7,0.000000/0.000000,0.526659/0.214015,0.540000/0.315595,0.080000/0.271293,0.700000/0.458258,0.660000/0.473709,0.620000/0.485386,0.500000/0.500000,4
