index,sample_index,filename,model,target_key,source_text,target_text,ocr_predicted_text,ACC,NED,CER,noise_standard_deviation,noise_seed,generation_seed,source_path,input_path,mask_path,output_path
800,0,08945.png,self_prompting_sd35,case_upper,thine,XAQKY,thine,0.0,0.0,1.0,6.756381637663084,4004,3003,/home/ekim339/project/SD3.5/datasets/SRNet_Datagen/train/train-50k-3/i_s/08945.png,/home/ekim339/project/SD3.5/experiments/self_prompting_sd35/results/inputs/0000_08945.png,/home/ekim339/project/SD3.5/datasets/SRNet_Datagen/train/train-50k-3/mask_s/08945.png,/home/ekim339/project/SD3.5/experiments/self_prompting_sd35/results/generated/self_prompting_sd35/case_upper/0000.png
801,0,08945.png,self_prompting_sd35,case_lower,thine,xaqky,thine,0.0,0.0,1.0,6.756381637663084,4004,3004,/home/ekim339/project/SD3.5/datasets/SRNet_Datagen/train/train-50k-3/i_s/08945.png,/home/ekim339/project/SD3.5/experiments/self_prompting_sd35/results/inputs/0000_08945.png,/home/ekim339/project/SD3.5/datasets/SRNet_Datagen/train/train-50k-3/mask_s/08945.png,/home/ekim339/project/SD3.5/experiments/self_prompting_sd35/results/generated/self_prompting_sd35/case_lower/0000.png
802,0,08945.png,self_prompting_sd35,special_1,thine,hKqPs,thine,0.0,0.0,1.0,6.756381637663084,4004,3005,/home/ekim339/project/SD3.5/datasets/SRNet_Datagen/train/train-50k-3/i_s/08945.png,/home/ekim339/project/SD3.5/experiments/self_prompting_sd35/results/inputs/0000_08945.png,/home/ekim339/project/SD3.5/datasets/SRNet_Datagen/train/train-50k-3/mask_s/08945.png,/home/ekim339/project/SD3.5/experiments/self_prompting_sd35/results/generated/self_prompting_sd35/special_1/0000.png
803,0,08945.png,self_prompting_sd35,special_2,thine,dtG$e,thine,0.0,0.19999999999999996,0.8,6.756381637663084,4004,3006,/home/ekim339/project/SD3.5/datasets/SRNet_Datagen/train/train-50k-3/i_s/08945.png,/home/ekim339/project/SD3.5/experiments/self_prompting_sd35/results/inputs/0000_08945.png,/home/ekim339/project/SD3.5/datasets/SRNet_Datagen/train/train-50k-3/mask_s/08945.png,/home/ekim339/project/SD3.5/experiments/self_prompting_sd35/results/generated/self_prompting_sd35/special_2/0000.png
804,0,08945.png,self_prompting_sd35,special_3,thine,laM&%,thine,0.0,0.0,1.0,6.756381637663084,4004,3007,/home/ekim339/project/SD3.5/datasets/SRNet_Datagen/train/train-50k-3/i_s/08945.png,/home/ekim339/project/SD3.5/experiments/self_prompting_sd35/results/inputs/0000_08945.png,/home/ekim339/project/SD3.5/datasets/SRNet_Datagen/train/train-50k-3/mask_s/08945.png,/home/ekim339/project/SD3.5/experiments/self_prompting_sd35/results/generated/self_prompting_sd35/special_3/0000.png
805,0,08945.png,self_prompting_sd35,special_4,thine,C.I,thine,0.0,0.0,1.6666666666666667,6.756381637663084,4004,3008,/home/ekim339/project/SD3.5/datasets/SRNet_Datagen/train/train-50k-3/i_s/08945.png,/home/ekim339/project/SD3.5/experiments/self_prompting_sd35/results/inputs/0000_08945.png,/home/ekim339/project/SD3.5/datasets/SRNet_Datagen/train/train-50k-3/mask_s/08945.png,/home/ekim339/project/SD3.5/experiments/self_prompting_sd35/results/generated/self_prompting_sd35/special_4/0000.png
806,0,08945.png,self_prompting_sd35,special_5,thine,@U+.$,thine,0.0,0.0,1.0,6.756381637663084,4004,3009,/home/ekim339/project/SD3.5/datasets/SRNet_Datagen/train/train-50k-3/i_s/08945.png,/home/ekim339/project/SD3.5/experiments/self_prompting_sd35/results/inputs/0000_08945.png,/home/ekim339/project/SD3.5/datasets/SRNet_Datagen/train/train-50k-3/mask_s/08945.png,/home/ekim339/project/SD3.5/experiments/self_prompting_sd35/results/generated/self_prompting_sd35/special_5/0000.png
807,0,08945.png,self_prompting_sd35,special_6,thine,"#=&,*",thine,0.0,0.0,1.0,6.756381637663084,4004,3010,/home/ekim339/project/SD3.5/datasets/SRNet_Datagen/train/train-50k-3/i_s/08945.png,/home/ekim339/project/SD3.5/experiments/self_prompting_sd35/results/inputs/0000_08945.png,/home/ekim339/project/SD3.5/datasets/SRNet_Datagen/train/train-50k-3/mask_s/08945.png,/home/ekim339/project/SD3.5/experiments/self_prompting_sd35/results/generated/self_prompting_sd35/special_6/0000.png
808,1,47853.png,self_prompting_sd35,case_upper,shall,GFRBQ,shall,0.0,0.0,1.0,5.549560196686573,4005,3011,/home/ekim339/project/SD3.5/datasets/SRNet_Datagen/train/train-50k-3/i_s/47853.png,/home/ekim339/project/SD3.5/experiments/self_prompting_sd35/results/inputs/0001_47853.png,/home/ekim339/project/SD3.5/datasets/SRNet_Datagen/train/train-50k-3/mask_s/47853.png,/home/ekim339/project/SD3.5/experiments/self_prompting_sd35/results/generated/self_prompting_sd35/case_upper/0001.png
809,1,47853.png,self_prompting_sd35,case_lower,shall,gfrbq,shall,0.0,0.0,1.0,5.549560196686573,4005,3012,/home/ekim339/project/SD3.5/datasets/SRNet_Datagen/train/train-50k-3/i_s/47853.png,/home/ekim339/project/SD3.5/experiments/self_prompting_sd35/results/inputs/0001_47853.png,/home/ekim339/project/SD3.5/datasets/SRNet_Datagen/train/train-50k-3/mask_s/47853.png,/home/ekim339/project/SD3.5/experiments/self_prompting_sd35/results/generated/self_prompting_sd35/case_lower/0001.png
