condition,ACC_mean/std,NED_mean/std,CER_mean/std,character_1_accuracy_mean/std,character_2_accuracy_mean/std,character_3_accuracy_mean/std,character_4_accuracy_mean/std,character_5_accuracy_mean/std
0.0,0.220000/0.414246,0.666698/0.242729,0.368000/0.292192,0.780000/0.414246,0.680000/0.466476,0.660000/0.473709,0.480000/0.499600,0.580000/0.493559
0.1,0.240000/0.427083,0.706698/0.222080,0.316000/0.262572,0.760000/0.427083,0.740000/0.438634,0.700000/0.458258,0.540000/0.498397,0.760000/0.427083
0.3,0.280000/0.448999,0.723714/0.230804,0.284000/0.246868,0.760000/0.427083,0.700000/0.458258,0.740000/0.438634,0.600000/0.489898,0.760000/0.427083
0.5,0.280000/0.448999,0.735905/0.205928,0.272000/0.218211,0.780000/0.414246,0.720000/0.448999,0.720000/0.448999,0.600000/0.489898,0.760000/0.427083
0.7,0.280000/0.448999,0.732000/0.228421,0.268000/0.228421,0.780000/0.414246,0.760000/0.427083,0.700000/0.458258,0.640000/0.480000,0.780000/0.414246
patch baseline (no mask),0.220000/0.414246,0.666698/0.242729,0.368000/0.292192,0.780000/0.414246,0.680000/0.466476,0.660000/0.473709,0.480000/0.499600,0.580000/0.493559
"[0, 0]",0.260000/0.438634,0.734222/0.199392,0.280000/0.226274,0.800000/0.400000,0.760000/0.427083,0.740000/0.438634,0.580000/0.493559,0.740000/0.438634
"[0, 1]",0.240000/0.427083,0.706389/0.222461,0.316000/0.262572,0.780000/0.414246,0.700000/0.458258,0.720000/0.448999,0.540000/0.498397,0.700000/0.458258
"[0, 2]",0.220000/0.414246,0.692889/0.224078,0.336000/0.266653,0.780000/0.414246,0.680000/0.466476,0.660000/0.473709,0.520000/0.499600,0.660000/0.473709
"[0, 3]",0.280000/0.448999,0.738389/0.206264,0.280000/0.246577,0.800000/0.400000,0.760000/0.427083,0.720000/0.448999,0.580000/0.493559,0.760000/0.427083
"[1, 0]",0.260000/0.438634,0.750667/0.200803,0.252000/0.207113,0.800000/0.400000,0.760000/0.427083,0.740000/0.438634,0.600000/0.489898,0.800000/0.400000
"[1, 1]",0.260000/0.438634,0.705817/0.229550,0.324000/0.279686,0.760000/0.427083,0.700000/0.458258,0.660000/0.473709,0.580000/0.493559,0.700000/0.458258
"[1, 2]",0.220000/0.414246,0.679175/0.230913,0.360000/0.285657,0.720000/0.448999,0.660000/0.473709,0.640000/0.480000,0.520000/0.499600,0.600000/0.489898
"[1, 3]",0.280000/0.448999,0.742000/0.202079,0.260000/0.204939,0.760000/0.427083,0.760000/0.427083,0.760000/0.427083,0.600000/0.489898,0.780000/0.414246
"[2, 0]",0.280000/0.448999,0.734000/0.225929,0.268000/0.228421,0.760000/0.427083,0.740000/0.438634,0.760000/0.427083,0.600000/0.489898,0.760000/0.427083
"[2, 1]",0.260000/0.438634,0.694159/0.235601,0.352000/0.300826,0.740000/0.438634,0.640000/0.480000,0.640000/0.480000,0.500000/0.500000,0.660000/0.473709
"[2, 2]",0.260000/0.438634,0.703254/0.230780,0.344000/0.307350,0.740000/0.438634,0.640000/0.480000,0.620000/0.485386,0.560000/0.496387,0.660000/0.473709
"[2, 3]",0.240000/0.427083,0.722000/0.210777,0.284000/0.219417,0.760000/0.427083,0.740000/0.438634,0.720000/0.448999,0.600000/0.489898,0.720000/0.448999
"[3, 0]",0.240000/0.427083,0.723556/0.207461,0.292000/0.237352,0.760000/0.427083,0.740000/0.438634,0.720000/0.448999,0.600000/0.489898,0.760000/0.427083
"[3, 1]",0.200000/0.400000,0.680437/0.217142,0.368000/0.294917,0.740000/0.438634,0.640000/0.480000,0.640000/0.480000,0.480000/0.499600,0.620000/0.485386
"[3, 2]",0.260000/0.438634,0.682429/0.254380,0.360000/0.327414,0.700000/0.458258,0.700000/0.458258,0.620000/0.485386,0.520000/0.499600,0.700000/0.458258
"[3, 3]",0.260000/0.438634,0.726597/0.217464,0.300000/0.291890,0.780000/0.414246,0.740000/0.438634,0.720000/0.448999,0.580000/0.493559,0.740000/0.438634
